x_mm,y_mm
-2.969328704135110186e+01,1.048211728434432928e+02
-3.011478624290744222e+01,1.047379097971658979e+02
-3.053849690236257786e+01,1.046612031092028445e+02
-3.096450244196650203e+01,1.045910009036279718e+02
-3.139288431658315659e+01,1.045272461163446422e+02
-3.182372192506057473e+01,1.044698765429165235e+02
-3.225709252310605990e+01,1.044188248898822025e+02
-3.269307113774117823e+01,1.043740188295145401e+02
-3.313173048340976123e+01,1.043353810579820049e+02
-3.357314087981053063e+01,1.043028293568673206e+02
-3.401737017152549214e+01,1.042762766579963909e+02
-3.446448364951304910e+01,1.042556311115281034e+02
-3.491454397453373559e+01,1.042407961572531292e+02
-3.536761110257548779e+01,1.042316705990478738e+02
-3.582374221234263700e+01,1.042281486824272605e+02
-3.628299163487282186e+01,1.042301201751380120e+02
-3.674541078534275584e+01,1.042374704507318484e+02
-3.721104809712370098e+01,1.042500805750558897e+02
-3.767994895814440071e+01,1.042678273955958872e+02
-3.815215564961838624e+01,1.042905836336052516e+02
-3.862770728719059576e+01,1.043182179789515374e+02
-3.910663976455572310e+01,1.043505951876098123e+02
-3.958898569960000913e+01,1.043875761817304664e+02
-4.007477438311497053e+01,1.044290181522075898e+02
-4.056403173013070074e+01,1.044747746636717807e+02
-4.105678023391354969e+01,1.045246957618300456e+02
-4.155303892267112786e+01,1.045786280830737098e+02
-4.205282331900618686e+01,1.046364149662732359e+02
-4.255614540215733399e+01,1.046978965666784802e+02
-4.306301357306423938e+01,1.047629099718400028e+02
-4.357343262229077396e+01,1.048312893194669329e+02
-4.408740370083948079e+01,1.049028659171349176e+02
-4.460492429388639124e+01,1.049774683637566000e+02
-4.512598819746448697e+01,1.050549226727258372e+02
-4.565058549812134459e+01,1.051350523966460173e+02
-4.617870255557364345e+01,1.052176787535513824e+02
-4.671032198837995963e+01,1.053026207545296131e+02
-4.724542266264963075e+01,1.053896953326526500e+02
-4.778397968380416216e+01,1.054787174731225434e+02
-4.832596439140510114e+01,1.055695003445376017e+02
-4.887134435705900870e+01,1.056618554311838238e+02
-4.942008338540869516e+01,1.057555926662558647e+02
-4.997214151821776085e+01,1.058505205659113670e+02
-5.052747504155136227e+01,1.059464463640616003e+02
-5.108603649605554864e+01,1.060431761478014749e+02
-5.164777469033429469e+01,1.061405149933812595e+02
-5.221263471742029338e+01,1.062382671026219754e+02
-5.278055797433490426e+01,1.063362359396768682e+02
-5.335148218472782844e+01,1.064342243680403186e+02
-5.392534142458672619e+01,1.065320347877062659e+02
-5.450206615100344010e+01,1.066294692723777615e+02
-5.508158323398120615e+01,1.067263297066295564e+02
-5.566381599126567181e+01,1.068224179229258937e+02
-5.624868422617824137e+01,1.069175358383953949e+02
-5.683610426843025465e+01,1.070114855912659380e+02
-5.742598901789200028e+01,1.071040696768623803e+02
-5.801824799129011723e+01,1.071950910830702242e+02
-5.861278737180259668e+01,1.072843534251694706e+02
-5.920951006152009199e+01,1.073716610799427968e+02
-5.980831573673889778e+01,1.074568193189634684e+02
-6.040910090604854332e+01,1.075396344409683707e+02
-6.101175897117635571e+01,1.076199139032234626e+02
-6.161618029054626788e+01,1.076974664517884577e+02
-6.222225224550960831e+01,1.077721022505893558e+02
-6.282985930920239070e+01,1.078436330092085740e+02
-6.343888311798080792e+01,1.079118721093026920e+02
-6.404920254538630786e+01,1.079766347295593505e+02
-6.466069377858750045e+01,1.080377379691066295e+02
-6.527323039724564069e+01,1.080950009692883498e+02
-6.588668345474830801e+01,1.081482450337209826e+02
-6.650092156175213631e+01,1.081972937465482971e+02
-6.711581097197763768e+01,1.082419730888131681e+02
-6.773121567019170186e+01,1.082821115528645635e+02
-6.834699746231673601e+01,1.083175402547217914e+02
-6.896301606760022196e+01,1.083480930443192989e+02
-6.957912921277903706e+01,1.083736066135550118e+02
-7.019519272816896205e+01,1.083939206020696986e+02
-7.081106064561015501e+01,1.084088777006848545e+02
-7.142658529819708235e+01,1.084183237524287193e+02
-7.204161742171910987e+01,1.084221078510821883e+02
-7.265600625773856791e+01,1.084200824371783511e+02
-7.326959965822865684e+01,1.084121033913906587e+02
-7.388224419169557677e+01,1.083980301252481979e+02
-7.449378525070498824e+01,1.083777256691162876e+02
-7.510406716073404709e+01,1.083510567573856491e+02
-7.571293329026777030e+01,1.083178939108127565e+02
-7.632022616205713916e+01,1.082781115159578320e+02
-7.692578756545673002e+01,1.082315879016689166e+02
-7.752945866975727540e+01,1.081782054125621215e+02
-7.813108013842803246e+01,1.081178504794511781e+02
-7.873049224418402048e+01,1.080504136866808977e+02
-7.932753498479021914e+01,1.079757898363226332e+02
-7.992204819951643913e+01,1.078938780091909280e+02
-8.051387168615389101e+01,1.078045816226438234e+02
-8.110284531850639667e+01,1.077078084851319772e+02
-8.168880916426510908e+01,1.076034708474625461e+02
-8.227160360317876098e+01,1.074914854507486126e+02
-8.285106944542870622e+01,1.073717735710154955e+02
-8.342704805011857161e+01,1.072442610604390438e+02
-8.399938144378833726e+01,1.071088783851923978e+02
-8.456791243886165432e+01,1.069655606598816036e+02
-8.513248475193555009e+01,1.068142476785518227e+02
-8.569294312182245221e+01,1.066548839422492989e+02
-8.624913342725207599e+01,1.064874186831259095e+02
